molecule_chembl_id,smiles,activity_type,activity_value,activity_units,pchembl_value,target_chembl_id,document_chembl_id,canonical_smiles
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,41.0,nM,7.39,CHEMBL203,CHEMBL1134862,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,170.0,nM,6.77,CHEMBL203,CHEMBL1134862,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,IC50,9300.0,nM,5.03,CHEMBL203,CHEMBL1145114,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],IC50,96000.0,nM,4.02,CHEMBL203,CHEMBL1124610,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,5310.0,nM,5.28,CHEMBL203,CHEMBL1134862,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,IC50,125.0,nM,6.9,CHEMBL203,CHEMBL1124610,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,IC50,35000.0,nM,4.46,CHEMBL203,CHEMBL1124610,N#CC(C#N)=Cc1ccc(O)c(O)c1
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,0.45,nM,9.35,CHEMBL203,CHEMBL1134862,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,IC50,10000.0,nM,5.0,CHEMBL203,CHEMBL1124610,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,IC50,60000.0,nM,4.22,CHEMBL203,CHEMBL1124610,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,IC50,3000.0,nM,5.52,CHEMBL203,CHEMBL1124610,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,IC50,8000.0,nM,5.1,CHEMBL203,CHEMBL1145114,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,14.0,nM,7.85,CHEMBL203,CHEMBL1145114,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,IC50,1000.0,nM,6.0,CHEMBL203,CHEMBL1145114,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,100.0,nM,7.0,CHEMBL203,CHEMBL1145114,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1
